City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
145,tara,56.8944,74.371,7.47,69,100,1.75,RU,1686611216
146,gladstone,-23.85,151.25,19.32,82,1,3.09,AU,1686610719
147,afaahiti,-17.75,-149.2833,27.93,73,44,8.29,PF,1686611217
148,coquimbo,-29.9533,-71.3436,10.85,81,40,3.6,CL,1686610893
149,hafar al-batin,28.4328,45.9708,32.66,16,0,2.9,SA,1686611217
150,san antonio de pale,-1.4014,5.6325,24.44,89,75,2.84,GQ,1686611217
151,asuncion mita,14.3308,-89.7108,30.56,63,99,1.19,GT,1686611217
152,atafu village,-8.5421,-172.5159,28.55,76,28,5.65,TK,1686611217
153,bemidji,47.4736,-94.8803,25.05,33,40,5.14,US,1686610811
154,port lincoln,-34.7333,135.8667,13.26,68,56,10.0,AU,1686611217
155,dudinka,69.4058,86.1778,7.57,70,94,3.85,RU,1686610988
156,kargasok,59.0556,80.8572,6.17,80,9,3.83,RU,1686611218
157,thunder bay,48.4001,-89.3168,19.99,45,75,2.06,CA,1686611099
158,yellowknife,62.456,-114.3525,10.29,53,75,7.72,CA,1686610561
159,idfu,24.9803,32.8747,33.17,20,0,2.8,EG,1686611218
160,brookings,44.3114,-96.7984,25.14,35,40,6.17,US,1686610736
161,harare,-17.8294,31.0539,13.14,47,35,1.69,ZW,1686610963
162,tofol,5.3248,163.0078,28.88,79,100,5.14,FM,1686611218
163,lompoc,34.6391,-120.4579,23.21,77,75,5.36,US,1686611218
164,tarfaya,27.9358,-12.9218,22.07,87,3,6.21,MA,1686611218
165,at taj,24.2049,23.2857,33.91,14,1,5.06,LY,1686611217
166,serang,-6.1149,106.1502,24.87,88,91,0.89,ID,1686611219
167,nuuk,64.1835,-51.7216,0.34,100,100,4.12,GL,1686611219
168,cheney,47.4874,-117.5758,31.19,30,75,6.17,US,1686611219
169,bechar,31.6167,-2.2167,28.65,23,2,3.59,DZ,1686611219
170,dhuusamarreeb,5.535,46.3861,24.51,76,83,10.07,SO,1686611219
171,bhamo,24.2667,97.2333,23.53,99,100,0.65,MM,1686611219
172,caleta de carquin,-11.0925,-77.6267,21.36,76,15,7.03,PE,1686611016
173,lubango,-14.9172,13.4925,15.92,41,12,3.09,AO,1686611092
174,petropavlovsk-kamchatsky,53.0452,158.6483,18.33,45,0,2.0,RU,1686611220
175,ponta delgada,37.7333,-25.6667,19.4,100,75,7.72,PT,1686610923
176,florence,43.7667,11.25,21.52,77,20,2.06,IT,1686611009
177,kailua-kona,19.6406,-155.9956,27.98,88,40,5.14,US,1686611220
178,yonggwang-up,40.0183,127.4547,18.47,80,88,1.29,KP,1686611220
179,yelizovo,53.1873,158.3805,19.08,45,0,2.0,RU,1686611220
180,red bluff,40.1785,-122.2358,29.73,42,0,4.63,US,1686611220
181,santa ana,33.7456,-117.8678,21.82,70,75,5.14,US,1686610800
182,colares,38.7992,-9.4469,19.07,87,63,6.71,PT,1686611221
183,avrig,45.7167,24.3833,15.36,95,100,0.63,RO,1686611221
184,berbera,10.4396,45.0143,34.17,44,100,3.44,SO,1686611221
185,ujae,8.9322,165.7642,28.43,77,84,8.4,MH,1686611221
186,verdal,63.7933,11.4817,14.02,67,97,1.87,NO,1686611222
187,at-bashi,41.1702,75.8106,12.74,80,92,1.57,KG,1686611222
188,am timan,11.0297,20.2827,25.05,78,100,2.04,TD,1686611171
189,salto,-31.3833,-57.9667,8.82,64,35,1.34,UY,1686611164
190,port alfred,-33.5906,26.891,11.77,80,81,0.45,ZA,1686610951
191,amga,60.8953,131.9608,4.53,89,100,2.48,RU,1686611222
192,minas,-34.3759,-55.2377,4.52,86,8,2.15,UY,1686611222
193,vilyuchinsk,52.9306,158.4028,19.15,51,0,2.44,RU,1686611222
194,ouani,-12.1322,44.4258,24.71,72,5,1.28,KM,1686611223
195,byron bay,-28.65,153.6167,15.95,80,3,1.56,AU,1686611223
196,east ballina,-28.8667,153.5833,16.0,81,6,1.65,AU,1686611223
197,hlybokaye,55.1382,27.6879,9.25,73,98,3.33,BY,1686611223
198,guiuan,11.0333,125.7247,29.37,71,86,3.46,PH,1686611223
199,hotan,37.0997,79.9269,26.21,23,62,2.25,CN,1686611224
200,anadyr,64.75,177.4833,13.28,58,0,6.0,RU,1686611224
201,great falls,47.5002,-111.3008,25.37,45,0,5.66,US,1686611050
202,ha'il,27.5219,41.6907,27.15,24,0,3.38,SA,1686611224
203,andergrove,-21.0833,149.1833,23.14,82,17,2.51,AU,1686611224
204,wailua homesteads,22.0669,-159.378,28.24,78,20,6.17,US,1686611224
205,fale old settlement,-9.3852,-171.2468,28.38,77,17,5.86,TK,1686611224
206,al hamul,31.3115,31.1477,21.29,76,23,2.21,EG,1686611224
207,santa marta de ortigueira,43.6833,-7.85,16.81,80,100,1.3,ES,1686611225
208,haiku-pauwela,20.9219,-156.3051,29.01,51,40,7.72,US,1686611225
209,kununurra,-15.7667,128.7333,17.99,82,79,1.54,AU,1686611225
210,corum,40.5,34.75,12.36,86,91,1.2,TR,1686611225
211,qiziltepa,40.0331,64.85,23.53,23,0,4.12,UZ,1686611225
212,thompson,55.7435,-97.8558,23.75,40,44,2.76,CA,1686611225
213,mariehamn,60.0973,19.9348,12.12,87,0,2.06,AX,1686611225
214,colby,39.3958,-101.0524,18.51,73,100,5.66,US,1686611226
215,cacador,-26.7753,-51.015,9.81,99,100,1.43,BR,1686611226
216,nova sintra,14.8667,-24.7167,21.79,83,63,6.76,CV,1686611226
217,ghadamis,30.1337,9.5007,30.87,21,0,4.57,LY,1686611226
218,yarkovo,57.4028,67.0786,4.73,70,19,2.29,RU,1686611226
219,portel,-1.9356,-50.8211,24.16,95,56,1.44,BR,1686611226
220,arraial do cabo,-22.9661,-42.0278,22.4,89,0,2.61,BR,1686611226
221,vavuniya,8.7514,80.4971,26.19,82,100,3.59,LK,1686611226
222,saudarkrokur,65.7461,-19.6394,11.44,72,90,1.44,IS,1686611226
223,wenchang,30.904,118.4887,22.79,89,96,1.69,CN,1686611227
224,el charco,2.4769,-78.1105,27.29,82,93,1.79,CO,1686611227
225,cidreira,-30.1811,-50.2056,10.11,64,90,4.19,BR,1686611227
226,mount gambier,-37.8333,140.7667,8.97,97,100,3.36,AU,1686611227
227,kaura namoda,12.5898,6.5779,27.32,66,57,5.88,NG,1686611228
228,magadan,59.5667,150.8,15.85,89,98,3.21,RU,1686610996
229,kismayo,-0.3582,42.5454,25.72,80,50,6.25,SO,1686611228
230,melekeok village,7.4957,134.6367,25.31,94,100,4.63,PW,1686611228
231,patacamaya,-17.2333,-67.9167,8.01,26,46,4.34,BO,1686611228
232,padangsidempuan,1.3667,99.2667,21.77,97,42,0.51,ID,1686611228
233,mpongwe,-13.5091,28.155,15.66,49,36,2.41,ZM,1686611229
234,frontino,6.7801,-76.1288,20.36,97,88,1.26,CO,1686611229
235,sinop,41.7711,34.8709,14.54,94,89,0.68,TR,1686611229
236,turpan,42.9333,89.1667,32.4,23,95,0.83,CN,1686611229
237,ekibastuz,51.6667,75.3667,15.14,56,46,3.12,KZ,1686611229
238,nemuro,43.3236,145.575,11.85,97,100,4.63,JP,1686611229
239,akureyri,65.6835,-18.0878,10.96,76,0,3.09,IS,1686611059
240,tazacorte,28.629,-17.9293,21.54,86,100,5.66,ES,1686611230
241,muisne,0.6,-80.0333,26.77,86,92,3.96,EC,1686611230
242,urangan,-25.3,152.9,17.91,84,6,3.21,AU,1686611230
243,colonia,50.9333,6.95,21.13,46,0,2.57,DE,1686610884
244,mawu,29.5923,107.3139,19.74,83,76,0.49,CN,1686611230
245,verkhovyna,48.1557,24.7911,7.55,99,100,0.94,UA,1686611230
246,carnarvon,-24.8667,113.6333,14.06,46,0,7.05,AU,1686611230
247,morrinhos,-17.7311,-49.0994,21.61,50,19,0.86,BR,1686611231
248,harper,4.375,-7.7169,25.11,79,54,4.36,LR,1686610967
249,charters towers,-20.1,146.2667,19.65,78,25,0.86,AU,1686611231
250,port moresby,-9.4431,147.1797,25.85,85,69,1.2,PG,1686611231
251,isla aguada,18.7833,-91.4667,33.02,73,36,7.92,MX,1686611231
252,arizona city,32.7559,-111.671,33.1,17,1,3.18,US,1686611231
253,vicuna mackenna,-33.9197,-64.3922,5.3,38,0,1.5,AR,1686611232
254,zeya,53.75,127.2667,20.76,55,80,1.21,RU,1686611091
